"","Date","num_day","num_ind","num_dir","percent_ind"
"443","1/23/2016",56,3,53,5.66037735849057
"444","1/23/2017",69,1,68,1.47058823529412
"445","1/23/2018",75,2,73,2.73972602739726
"446","1/23/2019",72,1,71,1.40845070422535
"447","1/23/2020",70,2,68,2.94117647058824
"448","1/23/2021",59,2,57,3.50877192982456
"449","1/24/1994",70,0,70,0
"450","1/24/1995",77,0,77,0
"451","1/24/1996",70,0,70,0
"452","1/24/1997",62,0,62,0
"453","1/24/1998",53,2,51,3.92156862745098
"454","1/24/1999",128,3,125,2.4
"455","1/24/2000",75,0,75,0
"456","1/24/2001",69,4,65,6.15384615384615
"457","1/24/2002",69,3,66,4.54545454545455
"458","1/24/2003",61,4,57,7.01754385964912
"459","1/24/2004",53,1,52,1.92307692307692
"460","1/24/2005",73,2,71,2.8169014084507
"461","1/24/2006",74,0,74,0
"462","1/24/2007",70,1,69,1.44927536231884
"463","1/24/2008",69,4,65,6.15384615384615
"464","1/24/2009",59,1,58,1.72413793103448
"465","1/24/2010",155,3,152,1.97368421052632
"466","1/24/2011",73,0,73,0
"467","1/24/2012",77,2,75,2.66666666666667
"468","1/24/2013",70,0,70,0
"469","1/24/2014",63,6,57,10.5263157894737
"470","1/24/2015",49,7,42,16.6666666666667
"471","1/24/2016",118,5,113,4.42477876106195
"472","1/24/2017",70,1,69,1.44927536231884
"473","1/24/2018",68,2,66,3.03030303030303
"474","1/24/2019",77,4,73,5.47945205479452
"475","1/24/2020",63,6,57,10.5263157894737
"476","1/24/2021",128,7,121,5.78512396694215
"477","1/25/1994",67,4,63,6.34920634920635
"478","1/25/1995",74,1,73,1.36986301369863
"479","1/25/1996",67,0,67,0
"480","1/25/1997",66,2,64,3.125
"481","1/25/1998",122,1,121,0.826446280991736
"482","1/25/1999",72,1,71,1.40845070422535
"483","1/25/2000",64,2,62,3.2258064516129
"484","1/25/2001",65,5,60,8.33333333333333
"485","1/25/2002",62,6,56,10.7142857142857
"486","1/25/2003",59,4,55,7.27272727272727
"487","1/25/2004",130,1,129,0.775193798449612
"488","1/25/2005",74,0,74,0
"489","1/25/2006",79,3,76,3.94736842105263
"490","1/25/2007",73,3,70,4.28571428571429
"491","1/25/2008",66,2,64,3.125
"492","1/25/2009",117,1,116,0.862068965517241
"493","1/25/2010",75,0,75,0
"494","1/25/2011",74,2,72,2.77777777777778
"495","1/25/2012",71,0,71,0
"496","1/25/2013",61,6,55,10.9090909090909
"497","1/25/2014",65,6,59,10.1694915254237
"498","1/25/2015",124,13,111,11.7117117117117
"499","1/25/2016",73,1,72,1.38888888888889
"500","1/25/2017",71,0,71,0
"501","1/25/2018",66,4,62,6.45161290322581
"502","1/25/2019",66,3,63,4.76190476190476
"503","1/25/2020",64,3,61,4.91803278688525
"504","1/25/2021",74,3,71,4.22535211267606
"505","1/26/1994",69,0,69,0
"506","1/26/1995",64,2,62,3.2258064516129
"507","1/26/1996",57,3,54,5.55555555555556
"508","1/26/1997",121,3,118,2.54237288135593
"509","1/26/1998",75,0,75,0
"510","1/26/1999",76,0,76,0
"511","1/26/2000",69,2,67,2.98507462686567
"512","1/26/2001",65,3,62,4.83870967741935
"513","1/26/2002",54,2,52,3.84615384615385
"514","1/26/2003",129,3,126,2.38095238095238
"515","1/26/2004",74,1,73,1.36986301369863
"516","1/26/2005",71,0,71,0
"517","1/26/2006",65,3,62,4.83870967741935
"518","1/26/2007",63,2,61,3.27868852459016
"519","1/26/2008",60,3,57,5.26315789473684
"520","1/26/2009",72,0,72,0
"521","1/26/2010",74,2,72,2.77777777777778
"522","1/26/2011",72,2,70,2.85714285714286
"523","1/26/2012",66,4,62,6.45161290322581
"524","1/26/2013",48,5,43,11.6279069767442
"525","1/26/2014",129,4,125,3.2
"526","1/26/2015",74,1,73,1.36986301369863
"527","1/26/2016",74,3,71,4.22535211267606
"528","1/26/2017",70,4,66,6.06060606060606
"529","1/26/2018",59,5,54,9.25925925925926
"530","1/26/2019",57,2,55,3.63636363636364
"531","1/26/2020",125,3,122,2.45901639344262
"532","1/26/2021",69,2,67,2.98507462686567
"533","1/27/1994",72,4,68,5.88235294117647
"534","1/27/1995",63,0,63,0
"535","1/27/1996",66,0,66,0
"536","1/27/1997",75,0,75,0
"537","1/27/1998",73,1,72,1.38888888888889
"538","1/27/1999",69,2,67,2.98507462686567
"539","1/27/2000",68,0,68,0
"540","1/27/2001",67,4,63,6.34920634920635
"541","1/27/2002",127,8,119,6.72268907563025
"542","1/27/2003",72,0,72,0
"543","1/27/2004",75,0,75,0
"544","1/27/2005",68,2,66,3.03030303030303
"545","1/27/2006",59,5,54,9.25925925925926
"546","1/27/2007",60,3,57,5.26315789473684
"547","1/27/2008",151,0,151,0
"548","1/27/2009",70,0,70,0
"549","1/27/2010",72,5,67,7.46268656716418
"550","1/27/2011",71,4,67,5.97014925373134
"551","1/27/2012",68,7,61,11.4754098360656
"552","1/27/2013",114,14,100,14
"553","1/27/2014",76,1,75,1.33333333333333
"554","1/27/2015",75,3,72,4.16666666666667
"555","1/27/2016",75,0,75,0
"556","1/27/2017",61,6,55,10.9090909090909
"557","1/27/2018",55,5,50,10
"558","1/27/2019",120,2,118,1.69491525423729
"559","1/27/2020",73,1,72,1.38888888888889
"560","1/27/2021",75,3,72,4.16666666666667
"561","1/28/1994",62,3,59,5.08474576271187
"562","1/28/1995",49,1,48,2.08333333333333
"563","1/28/1996",130,0,130,0
"564","1/28/1997",74,1,73,1.36986301369863
"565","1/28/1998",73,2,71,2.8169014084507
"566","1/28/1999",67,2,65,3.07692307692308
